,lang,browser,wasm_exec_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb performanceMetrics.js:100:15
,Rust,"Firefox",667.00,60,59.42,64.00,47161,16.82,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,59.59,64.00,47221,16.77,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,59.89,64.00,47281,16.85,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,59.40,64.00,47341,16.88,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,59.23,64.00,47401,16.93,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,59.84,64.00,47461,16.92,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,59,59.00,64.00,47520,17.00,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,59.30,64.00,47521,16.82,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,59,59.35,64.00,47579,16.95,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,59.68,64.00,47580,16.83,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,59.07,64.00,47639,16.93,16.00,19.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,59,58.63,64.00,47698,16.97,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,59.10,64.00,47699,16.87,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,59,58.68,64.00,47757,17.02,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,58.75,64.00,47758,16.85,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,59,59.01,64.00,47816,17.00,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,59.47,64.00,47817,16.85,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,59,58.45,64.00,47875,17.03,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,59,58.83,64.00,47876,16.97,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,59.39,64.00,47876,16.93,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,59,58.91,64.00,47934,17.07,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,59,58.81,64.00,47935,17.00,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,59,59.52,64.00,47935,16.95,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,59.08,64.00,47935,16.93,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,59,59.39,64.00,47993,17.00,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,60,58.97,64.00,47994,16.92,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,59,58.61,64.00,48052,17.12,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,59,58.78,64.00,48053,17.00,16.00,19.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,59,59.40,64.00,48053,16.95,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,59,58.86,64.00,48053,16.98,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,59,58.44,64.00,48053,17.00,16.00,18.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,59,59.53,64.00,48053,17.22,13.00,25.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,40,43.11,64.00,48053,25.45,17.00,89.00, performanceMetrics.js:106:13
,Rust,"Firefox",667.00,51,57.86,64.00,48053,19.80,16.00,80.00, performanceMetrics.js:106:13
