 ,lang,browser,wasm_exec_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb
 ,Rust,"Chromium",667.30,94,93.46,64.00,35020,10.71,10.20,11.00,79.50
 ,Rust,"Chromium",667.30,94,92.85,64.00,35115,10.74,10.20,11.10,79.61
 ,Rust,"Chromium",667.30,94,93.16,64.00,35209,10.76,10.30,11.10,79.72
 ,Rust,"Chromium",667.30,93,92.44,64.00,35302,10.79,10.30,11.10,79.83
 ,Rust,"Chromium",667.30,93,93.40,64.00,35394,10.83,10.30,12.00,79.94
 ,Rust,"Chromium",667.30,93,92.94,64.00,35488,10.79,10.20,11.20,80.05
 ,Rust,"Chromium",667.30,93,92.38,64.00,35581,10.81,10.30,11.20,79.36
 ,Rust,"Chromium",667.30,93,92.46,64.00,35673,10.80,10.30,11.30,79.47
 ,Rust,"Chromium",667.30,93,92.47,64.00,35767,10.83,10.30,11.20,79.58
 ,Rust,"Chromium",667.30,92,91.86,64.00,35859,10.87,10.30,11.20,79.69
 ,Rust,"Chromium",667.30,92,91.48,64.00,35951,10.91,10.40,11.30,79.80
 ,Rust,"Chromium",667.30,92,91.75,64.00,36042,10.93,10.30,11.60,79.91
 ,Rust,"Chromium",667.30,92,91.61,64.00,36135,10.94,10.50,11.30,80.02
 ,Rust,"Chromium",667.30,92,90.84,64.00,36226,10.98,10.40,11.50,80.13
 ,Rust,"Chromium",667.30,91,90.64,64.00,36318,11.06,10.50,11.90,79.32
 ,Rust,"Chromium",667.30,91,90.39,64.00,36409,11.05,10.50,11.40,79.43
 ,Rust,"Chromium",667.30,91,90.26,64.00,36500,11.09,10.50,11.40,79.53
 ,Rust,"Chromium",667.30,91,90.58,64.00,36590,11.10,10.50,12.50,79.64
 ,Rust,"Chromium",667.30,90,89.88,64.00,36680,11.12,10.60,11.60,79.75
 ,Rust,"Chromium",667.30,90,89.55,64.00,36771,11.17,10.70,11.60,79.86
 ,Rust,"Chromium",667.30,90,89.51,64.00,36860,11.19,10.60,11.60,79.97
 ,Rust,"Chromium",667.30,90,89.51,64.00,36951,11.17,10.70,11.50,80.08
 ,Rust,"Chromium",667.30,89,89.31,64.00,37039,11.31,10.70,18.50,92.65
 ,Rust,"Chromium",667.30,89,88.85,64.00,37129,11.28,10.70,12.90,92.75
 ,Rust,"Chromium",667.30,89,88.80,64.00,37218,11.31,10.80,11.90,92.86
 ,Rust,"Chromium",667.30,89,88.87,64.00,37307,11.29,10.70,11.60,92.97
 ,Rust,"Chromium",667.30,89,87.97,64.00,37395,11.32,10.80,11.70,93.07
 ,Rust,"Chromium",667.30,89,87.89,64.00,37485,11.35,10.80,11.70,93.18
 ,Rust,"Chromium",667.30,88,87.94,64.00,37573,11.38,10.80,11.80,93.28
 ,Rust,"Chromium",667.30,88,87.71,64.00,37660,11.40,10.90,11.70,93.39
 ,Rust,"Chromium",667.30,88,87.58,64.00,37749,11.45,10.90,13.10,92.67
 ,Rust,"Chromium",667.30,88,87.24,64.00,37836,11.46,11.00,11.80,92.78
 ,Rust,"Chromium",667.30,88,87.33,64.00,37925,11.47,10.90,11.90,92.89
 ,Rust,"Chromium",667.30,88,86.95,64.00,38013,11.49,10.90,11.90,92.99
 ,Rust,"Chromium",667.30,87,86.77,64.00,38100,11.53,11.00,11.90,93.09
 ,Rust,"Chromium",667.30,87,86.10,64.00,38186,11.60,11.00,12.00,93.20
 ,Rust,"Chromium",667.30,87,85.99,64.00,38274,11.63,10.90,12.00,93.30
 ,Rust,"Chromium",667.30,86,86.16,64.00,38360,11.63,11.10,12.00,93.40
 ,Rust,"Chromium",667.30,87,86.40,64.00,38447,11.62,11.00,11.90,93.51
 ,Rust,"Chromium",667.30,86,85.60,64.00,38533,11.66,11.10,12.10,92.74
 ,Rust,"Chromium",667.30,86,85.70,64.00,38618,11.68,11.10,12.50,92.85
 ,Rust,"Chromium",667.30,86,85.74,64.00,38705,11.70,11.10,12.00,92.95
 ,Rust,"Chromium",667.30,86,84.68,64.00,38791,11.73,11.10,12.10,93.05
 ,Rust,"Chromium",667.30,85,85.02,64.00,38875,11.78,11.10,12.20,93.15
 ,Rust,"Chromium",667.30,85,84.84,64.00,38961,11.83,11.20,12.20,93.25
 ,Rust,"Chromium",667.30,85,84.89,64.00,39046,11.81,11.20,12.10,93.35
 ,Rust,"Chromium",667.30,85,84.50,64.00,39130,11.84,11.30,12.20,93.46
 ,Rust,"Chromium",667.30,85,84.63,64.00,39216,11.87,11.20,12.20,93.56
 ,Rust,"Chromium",667.30,84,84.05,64.00,39300,11.92,11.30,12.40,92.66
 ,Rust,"Chromium",667.30,84,83.40,64.00,39384,11.94,11.30,12.30,92.76
 ,Rust,"Chromium",667.30,84,83.65,64.00,39468,11.97,11.40,12.40,92.86
 ,Rust,"Chromium",667.30,84,83.76,64.00,39552,11.95,11.40,12.30,92.96
 ,Rust,"Chromium",667.30,84,84.01,64.00,39636,11.95,11.40,12.30,93.06
 ,Rust,"Chromium",667.30,84,83.33,64.00,39719,11.97,11.30,12.30,93.16
 ,Rust,"Chromium",667.30,83,82.58,64.00,39802,12.06,11.50,12.50,93.26
 ,Rust,"Chromium",667.30,83,82.22,64.00,39886,12.11,11.50,12.50,93.36
 ,Rust,"Chromium",667.30,83,82.55,64.00,39968,12.17,11.50,12.60,93.46
 ,Rust,"Chromium",667.30,83,82.05,64.00,40052,12.18,11.60,12.90,93.56
 ,Rust,"Chromium",667.30,83,82.14,64.00,40135,12.17,11.60,12.70,92.66
 ,Rust,"Chromium",667.30,83,82.12,64.00,40217,12.17,11.60,12.50,92.76
 ,Rust,"Chromium",667.30,82,82.08,64.00,40299,12.20,11.50,12.50,92.86
 ,Rust,"Chromium",667.30,82,81.90,64.00,40382,12.28,11.60,12.60,92.96
