 ,lang,browser,wasm_start_offset_ms,fps_js,fps_game,tps,bunnies,avg_frame,min_frame,max_frame,heap_mb
 ,Rust,"Chromium",15.40,81,80.48,64.00,25795,12.49,11.50,12.90,88.08
 ,Rust,"Chromium",15.40,79,79.37,64.00,25874,12.67,11.70,13.20,87.37
 ,Rust,"Chromium",15.40,79,79.14,64.00,25953,12.68,11.70,13.10,87.47
 ,Rust,"Chromium",15.40,79,78.84,64.00,26031,12.70,11.80,14.00,87.57
 ,Rust,"Chromium",15.40,79,78.58,64.00,26111,12.76,11.80,13.10,87.66
 ,Rust,"Chromium",15.40,79,78.33,64.00,26189,12.78,11.80,13.20,87.76
 ,Rust,"Chromium",15.40,79,78.73,64.00,26269,12.79,11.80,13.20,87.86
 ,Rust,"Chromium",15.40,78,77.65,64.00,26347,12.83,11.80,13.30,87.95
 ,Rust,"Chromium",15.40,78,77.91,64.00,26425,12.84,11.90,13.20,88.05
 ,Rust,"Chromium",15.40,78,77.67,64.00,26502,12.84,11.80,13.20,88.14
 ,Rust,"Chromium",15.40,78,77.17,64.00,26581,12.95,12.00,13.40,87.43
 ,Rust,"Chromium",15.40,77,76.26,64.00,26658,13.04,12.00,13.50,87.53
 ,Rust,"Chromium",15.40,77,76.49,64.00,26735,13.07,12.00,13.40,87.62
 ,Rust,"Chromium",15.40,77,76.78,64.00,26812,13.05,12.00,13.50,87.72
 ,Rust,"Chromium",15.40,77,76.01,64.00,26889,13.14,12.10,13.50,87.81
 ,Rust,"Chromium",15.40,76,75.97,64.00,26965,13.19,12.10,13.70,87.90
 ,Rust,"Chromium",15.40,76,76.35,64.00,27041,13.19,12.10,13.60,87.99
 ,Rust,"Chromium",15.40,76,75.23,64.00,27116,13.24,12.20,13.70,88.09
 ,Rust,"Chromium",15.40,76,74.53,64.00,27193,13.33,12.30,13.70,87.38
 ,Rust,"Chromium",15.40,75,74.41,64.00,27268,13.33,12.30,13.70,87.47
 ,Rust,"Chromium",15.40,75,74.44,64.00,27343,13.40,12.40,13.70,87.57
 ,Rust,"Chromium",15.40,75,74.75,64.00,27418,13.42,12.40,13.70,87.66
 ,Rust,"Chromium",15.40,75,74.18,64.00,27493,13.45,12.40,13.80,87.75
 ,Rust,"Chromium",15.40,75,74.02,64.00,27568,13.48,12.40,13.80,87.84
 ,Rust,"Chromium",15.40,75,74.32,64.00,27643,13.46,12.40,13.90,87.93
 ,Rust,"Chromium",15.40,75,74.25,64.00,27717,13.45,12.40,13.80,88.02
 ,Rust,"Chromium",15.40,74,73.39,64.00,27792,13.57,12.50,14.00,88.11
 ,Rust,"Chromium",15.40,74,73.00,64.00,27866,13.63,12.60,14.80,87.41
 ,Rust,"Chromium",15.40,74,73.28,64.00,27940,13.69,12.60,14.00,87.50
 ,Rust,"Chromium",15.40,73,73.23,64.00,28013,13.71,12.60,14.10,87.58
 ,Rust,"Chromium",15.40,73,72.58,64.00,28086,13.73,12.70,14.10,87.67
 ,Rust,"Chromium",15.40,73,72.69,64.00,28158,13.74,12.70,14.90,87.76
 ,Rust,"Chromium",15.40,73,72.71,64.00,28232,13.73,12.70,14.10,87.85
 ,Rust,"Chromium",15.40,73,72.33,64.00,28305,13.86,12.70,17.60,87.44
 ,Rust,"Chromium",15.40,73,72.52,64.00,28378,13.81,12.70,14.10,87.53
 ,Rust,"Chromium",15.40,73,72.03,64.00,28451,13.85,12.70,15.10,87.62
 ,Rust,"Chromium",15.40,73,72.32,64.00,28524,13.79,12.70,14.20,87.71
 ,Rust,"Chromium",15.40,72,72.17,64.00,28596,13.92,12.90,14.20,87.79
 ,Rust,"Chromium",15.40,71,71.33,64.00,28667,14.14,12.90,24.10,87.88
 ,Rust,"Chromium",15.40,70,69.45,64.00,28737,14.36,13.10,19.70,99.09
 ,Rust,"Chromium",15.40,70,70.00,64.00,28807,14.41,13.10,22.50,98.50
performanceMetrics.js:132 ,Rust,"Chromium",15.40,70,69.60,64.00,28877,14.32,13.20,14.70,98.59
performanceMetrics.js:132 ,Rust,"Chromium",15.40,70,69.47,64.00,28947,14.37,13.20,14.60,98.67
performanceMetrics.js:132 ,Rust,"Chromium",15.40,70,68.12,64.00,29017,14.49,13.20,18.30,98.76
performanceMetrics.js:132 ,Rust,"Chromium",15.40,70,68.82,64.00,29087,14.45,13.30,14.70,98.84
